
--- NEW ENGINE RUN: 2026-01-14 15:29:32 (Target: 서울 강남구, Count: 5) ---
2026-01-15 12:38:21,705 - INFO - ✅ Firebase Saved: 정앤정피부관리실
2026-01-15 12:38:21,705 - INFO - Progress: 1/10
2026-01-15 12:38:26,966 - INFO - 🔍 Visiting detail page: 이미지수9
2026-01-15 12:38:31,505 - INFO - Firebase Firestore initialized successfully
2026-01-15 12:38:31,612 - INFO - Successfully saved shop to Firebase: 디유에스테틱 프리베 청담점
2026-01-15 12:38:31,612 - INFO - ✅ Firebase Saved: 디유에스테틱 프리베 청담점
2026-01-15 12:38:31,612 - INFO - Progress: 2/10
2026-01-15 12:38:38,151 - INFO - 🔍 Visiting detail page: 이미지수24
2026-01-15 12:38:43,573 - INFO - Firebase Firestore initialized successfully
2026-01-15 12:38:43,727 - INFO - Successfully saved shop to Firebase: 벨라인 에스테틱 강남선릉점
2026-01-15 12:38:43,727 - INFO - ✅ Firebase Saved: 벨라인 에스테틱 강남선릉점
2026-01-15 12:38:43,727 - INFO - Progress: 3/10
2026-01-15 12:38:48,426 - INFO - 🔍 Visiting detail page: 이미지수37
2026-01-15 12:38:53,360 - INFO - Firebase Firestore initialized successfully
2026-01-15 12:38:53,475 - INFO - Successfully saved shop to Firebase: 프롬미 강남본점
2026-01-15 12:38:53,476 - INFO - ✅ Firebase Saved: 프롬미 강남본점
2026-01-15 12:38:53,476 - INFO - Progress: 4/10
2026-01-15 12:39:00,010 - INFO - 🔍 Visiting detail page: 이미지수10
2026-01-15 12:39:05,166 - INFO - Firebase Firestore initialized successfully
2026-01-15 12:39:05,281 - INFO - Successfully saved shop to Firebase: 미니쉬 발몽스파 압구정로데오점
2026-01-15 12:39:05,282 - INFO - ✅ Firebase Saved: 미니쉬 발몽스파 압구정로데오점
2026-01-15 12:39:05,282 - INFO - Progress: 5/10
2026-01-15 12:39:10,199 - INFO - 🔍 Visiting detail page: 이미지수81
2026-01-15 12:39:21,739 - INFO - Firebase Firestore initialized successfully
2026-01-15 12:39:21,832 - INFO - Successfully saved shop to Firebase: 온에스테틱 선릉점
2026-01-15 12:39:21,833 - INFO - ✅ Firebase Saved: 온에스테틱 선릉점
2026-01-15 12:39:21,833 - INFO - Progress: 6/10
2026-01-15 12:39:25,878 - INFO - 🔍 Visiting detail page: 이미지수12
2026-01-15 12:39:30,880 - INFO - Firebase Firestore initialized successfully
2026-01-15 12:39:30,994 - INFO - Successfully saved shop to Firebase: 미르테 바이 혜정
2026-01-15 12:39:30,994 - INFO - ✅ Firebase Saved: 미르테 바이 혜정
2026-01-15 12:39:30,994 - INFO - Progress: 7/10
2026-01-15 12:39:34,797 - INFO - 🔍 Visiting detail page: 이미지수10
2026-01-15 12:39:40,563 - INFO - Firebase Firestore initialized successfully
2026-01-15 12:39:40,673 - INFO - Successfully saved shop to Firebase: 더록시 논현점
2026-01-15 12:39:40,673 - INFO - ✅ Firebase Saved: 더록시 논현점
2026-01-15 12:39:40,674 - INFO - Progress: 8/10
2026-01-15 12:39:45,049 - INFO - 🔍 Visiting detail page: 이미지수68
2026-01-15 12:39:50,857 - INFO - Firebase Firestore initialized successfully
2026-01-15 12:39:50,964 - INFO - Successfully saved shop to Firebase: 온에스테틱 압구정점
2026-01-15 12:39:50,964 - INFO - ✅ Firebase Saved: 온에스테틱 압구정점
2026-01-15 12:39:50,964 - INFO - Progress: 9/10
2026-01-15 12:39:56,414 - INFO - 🔍 Visiting detail page: 이미지수16
2026-01-15 12:40:02,841 - INFO - Firebase Firestore initialized successfully
2026-01-15 12:40:02,928 - INFO - Successfully saved shop to Firebase: 김서희건강연구소
2026-01-15 12:40:02,930 - INFO - ✅ Firebase Saved: 김서희건강연구소
